id,created_at,symbol,body,sentiment_basic
658664146,2026-07-09T15:41:57Z,ORCL,$ORCL BLACKROCK is loading 💯 they will take it to 200+. They have a long position and are also selling puts to leverage the crap out of their trade!!!,Bullish
658663935,2026-07-09T15:40:19Z,ORCL,$ORCL cross $150 going to $160 quick,Bullish
658663798,2026-07-09T15:39:21Z,ORCL,"$ORCL Networking, Optical, Neocloud strong today",
658663688,2026-07-09T15:38:28Z,ORCL,"$ORCL once it breaks $152, run to $200 wide open.",Bullish
658663673,2026-07-09T15:38:22Z,ORCL,$ORCL ahahaha where the little short bears. Greedy little boys,
658663634,2026-07-09T15:38:04Z,ORCL,$ORCL damn spot on $QQQ $SPY,
658663540,2026-07-09T15:37:18Z,ORCL,$ORCL When i say buy - Join the discord or keep watching profit Screen shot!,Bullish
658663261,2026-07-09T15:35:13Z,ORCL,$ORCL This stock wants to head higher.  It&#39;s tired of being beat down so badly (NFA).,Bullish
658663243,2026-07-09T15:35:02Z,ORCL,"$ORCL we just need $155 by tomorrow, it isn’t exactly an outrageous target. It’s actually a pretty modest one.",Bullish
658663130,2026-07-09T15:34:07Z,ORCL,$ORCL Oracle is now Motorsport AI   Idk what to do with this but looks cool let’s roll with it. 😎 🏍️,Bullish
658662968,2026-07-09T15:32:59Z,ORCL,$ORCL I believe black rock is loading up that guy on CNBC yesterday seem to hint towards it,
658662828,2026-07-09T15:31:59Z,ORCL,$ORCL still loading with plenty of room to run!,Bullish
658662818,2026-07-09T15:31:52Z,ORCL,$ORCL Adding for any pull back. 200+ by EOY,Bullish
658662753,2026-07-09T15:31:31Z,ORCL,$ORCL @JDKING   Likely bottom confirmation,
658662267,2026-07-09T15:28:21Z,ORCL,"$ORCL talked the wife into buying the dip, now she got a better average than me…. 😑",Bullish
658662163,2026-07-09T15:27:35Z,ORCL,$ORCL build it and they will come… see you at 200++,Bullish
658661836,2026-07-09T15:25:10Z,ORCL,$ORCL RETAIL buying the sh!t out of oracle!    My kids high-school janitor BUYING oracle dip on his apple phone apps so easy.  📱     BUY DIP ORACLE 🚀💪🤖🔋😎🍊 $spY $spcX,Bullish
658661565,2026-07-09T15:22:57Z,ORCL,"$ORCL How I see it. Notice volume pulling up after earnings drop I&#39;ve been watching carefully over the month, money rotation from AI hardware also possible. If any retail investor still out there 🥲",Bullish
658661549,2026-07-09T15:22:47Z,ORCL,$ORCL buy the oracle dip.  This is sitting at the bottom.   What more of a dip do you want to buy?     BUY BUY BUY ORACLE 🚀 $SPY $SPCX,Bullish
658661134,2026-07-09T15:19:34Z,ORCL,$ORCL OVERSOLD EXTREMELY OVERSOLD,Bullish
658660798,2026-07-09T15:16:56Z,ORCL,$ORCL,Bullish
658660692,2026-07-09T15:16:11Z,ORCL,$ORCL shorts are cooked,Bullish
658660689,2026-07-09T15:16:10Z,ORCL,"$ORCL If the bottom is confirmed, this is an all-in kind of opportunity.",Bullish
658660427,2026-07-09T15:14:18Z,ORCL,"$ORCL when this crosses the 20 day, it will pop. Not a ? Of if just when. Still a great entry point. $200 easy EOY",Bullish
658660247,2026-07-09T15:13:02Z,ORCL,$ORCL 🤘🏽🤘🏽🤘🏽🤘🏽🤘🏽🤘🏽,Bullish
658660227,2026-07-09T15:12:50Z,ORCL,$ORCL cool off a lil,
658660211,2026-07-09T15:12:42Z,ORCL,"$ORCL 145 retest successful ,can’t ask for more",Bullish
658659608,2026-07-09T15:08:28Z,ORCL,"$ORCL One year view shows triple bottom. Was very resilient last couple days, bouncing off lows.",Bullish
658659382,2026-07-09T15:06:55Z,ORCL,$ORCL breakout today bargain hunting if not short squeeze,Bullish
658659260,2026-07-09T15:06:05Z,ORCL,$ORCL if u listened to me this last week and not all the doomers you would be winning. feel bad for the idiots who sold at 140&lt;,
658658743,2026-07-09T15:02:24Z,ORCL,$ORCL its stuck not moving     About to go parabolic up,Bullish
658658458,2026-07-09T15:00:35Z,ORCL,$ORCL they will give a taste of what is to come. Have cash available and trade safe. ✅,Bullish
658658361,2026-07-09T14:59:59Z,ORCL,"$SBUX So assuming Starbucks software team can prove themselves better than $MSFT $ORCL $IBM , it creates a &quot;potential&quot; savings of $400 million no earlier than FY 2028, and the stock is up 3.5 Billion here today in mid 2026.  Possibly a bit of an overreaction...lol",Bearish
658658250,2026-07-09T14:59:03Z,ORCL,$ORCL     This is looking really solid for the long swing here    LEAP CALLS too expensive so going with sizing commons and some $ORCU,
658658169,2026-07-09T14:58:23Z,ORCL,$ORCL here is second-level trading data. Watching the tape is more entertaining than the price itself. It feels like the algos are trading with each other while retail just watches from the sidelines. 100% Algos is manipulating the waves.,Bullish
658657707,2026-07-09T14:55:10Z,ORCL,$ORCL nice pump and dump by scam street,
658657626,2026-07-09T14:54:41Z,ORCL,"$ORCL I take 3 % per day, for the next 30 days.",Bullish
658657624,2026-07-09T14:54:41Z,ORCL,$ORCL ride to $130-$120 then $170 😎🤪🚀,
658657063,2026-07-09T14:51:07Z,ORCL,"Oracle $ORCL  has pulled back over 68% in the last 10 months, but during that stretch it has found consistent support just below the 140 mark. Also, in that same area is a long-term trend-line that goes back to late &#39;23, that is being retested for the third time, which each of the two preceding times leading to significant bounces higher. From a risk standpoint, this is a stock that has certainly fallen out of favor with investors, but should this support hold, could lead to a nice squeeze higher. High risk trade though as the volatility has been extreme with this stock and has a beta over 2.2.",
658657049,2026-07-09T14:51:01Z,ORCL,$ORCL The daily candle this is about to put up will look disgusting,
658656922,2026-07-09T14:50:14Z,ORCL,"$ORCL if it holds 145, we’re in a very good spot",
658656721,2026-07-09T14:48:53Z,ORCL,$ORCL What are shorts after here? It&#39;s bottomed.. give it up. Trying to squeeze blood from a stone now. Go long and when its time to short again than go short.,Bullish
658656708,2026-07-09T14:48:46Z,ORCL,$ORCL bleeding has stopped,Bullish
658656430,2026-07-09T14:46:58Z,ORCL,"Biggest rallies tend to happen while price is still below the 200-day MA.    Saw it in $BABA, now watching the same setup build in $ORCL.",
658656022,2026-07-09T14:44:26Z,ORCL,$ORCL clearly going up higher,Bullish
658655897,2026-07-09T14:43:28Z,ORCL,$ORCL $165.00+ will be a good way to end the week….🇺🇸 Make it happen!!,Bullish
658655708,2026-07-09T14:42:15Z,ORCL,$ORCL bought a couple 750 spy calls at 746 thats just 2x as well,
658655608,2026-07-09T14:41:37Z,ORCL,$ORCL bouta fly told yall that 748 resistance was key. we move for the gap up to 750/150,
658655092,2026-07-09T14:38:12Z,ORCL,$ORCL over $150 by end of day,Bullish
658654953,2026-07-09T14:37:22Z,ORCL,$QQQ $SPY $ORCL   Target 300.,Bullish
658654884,2026-07-09T14:36:53Z,ORCL,"Even though I took profits on my Oracle calls, I still think the stock has room to move higher, potentially toward $170. At these levels, shares may not be a bad idea.🤔    $ORCL $QQQ $SPY",
658654813,2026-07-09T14:36:24Z,ORCL,$ORCL watch over $150,
658654408,2026-07-09T14:33:56Z,ORCL,$AMD and $ORCL I&#39;m putting my money on these go huge into 2nd half of 2026 and into 2027.  https://www.amd.com/en/newsroom/press-releases/oracle-and-amd-expand-partnership-to-help-customers-ach.html,Bullish
658654396,2026-07-09T14:33:48Z,ORCL,$ORCL Back test held. Earnings season upon us. They&#39;re done selling. They&#39;ll Park this above 160 soon. Easy money.,
658654371,2026-07-09T14:33:40Z,ORCL,$ORCL imagine another red day,
658654311,2026-07-09T14:33:20Z,ORCL,"$ORCL in 4-5 months at this price you will be getting a steal, don&#39;t lett the MM play you.",Bullish
658653837,2026-07-09T14:30:32Z,ORCL,"Here&#39;s the part I&#39;m watching most with $NREDF.  MetalCore has an ambitious vision, but the real test is whether its growing database can translate into useful insights, active users, and long-term value.    That&#39;s a fair question to ask.  The encouraging part is that the platform now holds more than 4.1 million records and is moving toward real-world user onboarding.    If that transition goes well, the narrative could shift from an AI concept to a platform with practical applications.  There&#39;s no guarantee it happens.  That&#39;s exactly why I&#39;m paying attention now.    $NRED.CSE    $PLTR $MSFT $ORCL    NFA.",Bullish
658653809,2026-07-09T14:30:23Z,ORCL,"$ORCL +5.48% today. Picked up calls and shares yesterday. The more I dug into it while writing, the more it felt like a spot to buy, so I ended up taking the trade mid-write.    $NOK",
658653766,2026-07-09T14:30:07Z,ORCL,$ORCL 748 on spy is a key inflection point watch there,
658653706,2026-07-09T14:29:47Z,ORCL,"$ORCL +5.48% today. Picked up calls and shares yesterday. The more I dug into it while writing, the more it felt like a spot to buy, so I ended up taking the trade mid-write.    $NOK",
658653404,2026-07-09T14:27:57Z,ORCL,$ORCL spy 750 and we go 150,
658653180,2026-07-09T14:26:34Z,ORCL,"$ORCL  Can anyone share the current call price for the oracle December 18, 2026?",
658653139,2026-07-09T14:26:23Z,ORCL,$ORCL resistence here,
658653086,2026-07-09T14:26:02Z,ORCL,$ORCL shits about to go parabolic not paraplegic,
658653012,2026-07-09T14:25:42Z,ORCL,$ORCL $COIN $SNDK All Time FRAUD All Time Short 🤣🤣🤣🤣  fucking easy ..... EVERY FKING DAY,Bearish
658652861,2026-07-09T14:24:53Z,ORCL,$ORCL don’t fucking sell until $200 simple,Bullish
